,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
2005-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.04603095451280205,0.038240945383907786,0.05792954695250372,0.0,0.0,0.0,0.024502408498713275,0.0,0.0,0.012860775084168278,0.0,0.0,0.0,0.1084902223487852,0.02931478098230367,0.0,1.5629513954916175e-17,0.0,0.0,0.0,0.0,9.019054567887186e-18,0.03704565076736908,0.14183910818922724,0.0,0.0,0.0,0.0,0.0,3.373145507068783e-17,0.0,0.0,0.0,0.0,0.0,3.400297275761711e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192483044537196,0.0,0.1628894646394427,0.0,0.19873864411717104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048729721428367956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041462946649866,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.03788888804965108,0.06306808783199798,0.05491909617242896,0.0,0.0,0.0,0.03156488568048385,0.0,0.0,0.011837227913073692,0.00844628370712005,0.0,0.0,0.08988220297747335,0.03927668353088944,0.0,0.0,0.0,0.0,0.0,0.0,6.6758664859741535e-18,0.030098510721138554,0.14633174987394348,0.0,0.0,0.0,0.0,0.0,2.9386692328310907e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04062834408393036,1.6701103393756875e-17,0.15962146935999424,0.0,0.20699151106354205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040851514656643974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418867861491974e-17,0.038593544377688915,0.0,0.0,0.0,0.0,0.0,0.0
